Reaction,Comp2GPR rules,yeast9 rules,Exact Match
r_0266,YKL008C and YHL003C and YMR298W,YKL008C and YHL003C and YMR298W,True
r_0267,YMR272C,YMR272C,True
r_0268,YMR272C,YMR272C,True
r_0269,YMR272C,YMR272C,True
r_0270,YMR272C,YMR272C,True
r_0271,YLR307W or YLR308W,YLR307W or YLR308W,True
r_0272,YBR023C or YBR038W or YNL192W,YBR023C or YBR038W or YNL192W,True
r_0273,YLR133W,YLR133W,True
r_0274,YGR202C,YGR202C,True
r_0278,YPR060C,YPR060C,True
r_0279,YGL148W,YGL148W,True
r_0280,YLR304C,YLR304C,True
r_0281,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0282,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0283,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0284,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0285,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0286,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0287,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0288,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0289,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0290,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0291,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0292,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0293,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0294,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0295,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0296,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0297,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0298,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0299,(YMR101C and YDL193W) or (YBR002C and YDL193W),YBR002C or YMR101C,False
r_0300,YNR001C or YPR001W,YNR001C or YPR001W,True
r_0301,YCR005C,YCR005C,True
r_0302,YLR304C,YLR304C,True
r_0303,YLR304C,YLR304C,True
r_0304,YDR044W,YDR044W,True
r_0306,YBL039C or YJR103W,YBL039C or YJR103W,True
r_0307,YBL039C or YJR103W,YBL039C or YJR103W,True
r_0308,YFR055W or YGL184C,YFR055W or YGL184C,True
r_0309,YGR155W,YGR155W,True
r_0310,YAL012W,YAL012W,True
r_0311,YJR130C,YJR130C,True
r_0312,YLR303W,YLR303W,True
r_0313,YNL247W,YNL247W,True
r_0314,YLR245C,YLR245C,True
r_0315,YNR012W,YNR012W,True
r_0317,YHR042W,YHR007C and YHR042W,False
r_0318,YPR062W,YPR062W,True
r_0319,YML086C,YML086C,True
r_0320,YMR041C,YMR041C,True
r_0321,YBR149W,YBR149W,True
r_0322,YKL060C,YKL060C,True
r_0323,YDL246C or YJR159W,YDL246C or YJR159W,True
r_0326,YHR144C,YHR144C,True
r_0327,YHR144C,YHR144C,True
r_0328,YNL141W,YNL141W,True
r_0329,YLR245C,YLR245C,True
r_0330,YDR454C,YDR454C,True
r_0331,YHR068W,YHR068W,True
r_0332,YCR036W,YCR036W,True
r_0334,YKL088W and YIL083C and YGR277C and YDR196C,YDR196C,False
r_0335,YNR057C,YNR057C,True
r_0340,YPL087W,YPL087W,True
r_0341,YPL087W,YPL087W,True
r_0342,YPL087W,YPL087W,True
r_0343,YPL087W,YPL087W,True
r_0344,YOR236W,YOR236W,True
r_0345,YOR236W,YOR236W,True
r_0346,YMR113W,YMR113W,True
r_0347,YNL256W,YNL256W,True
r_0348,YDL100C,YDL100C,True
r_0349,YLR420W,YLR420W,True
r_0350,YNL256W,YNL256W,True
r_0351,YNL256W,YNL256W,True
r_0352,YJR016C,YJR016C,True
r_0353,YJR016C,YJR016C,True
r_0354,YFL053W or YML070W,YFL053W or YML070W,True
r_0355,YJL167W,YJL167W,True
r_0356,YKL152C,YKL152C,True
r_0357,YOR163W,YOR163W,True
r_0358,YDR017C,YDR017C,True
r_0359,YLR172C,YLR172C,True
r_0360,YMR013C,YMR013C,True
r_0361,YPR183W,YPR183W,True
r_0362,(YAL023C and YDL095W) or (YDL095W and YOR321W) or (YAL023C and YDL093W) or (YDL093W and YOR321W) or YJR143C or YOR321W,(YAL023C and YDL095W) or YDL093W or YJR143C or YOR321W,False
r_0363,YJR057W,YJR057W,True
r_0364,YJR069C or YBR252W,YJR069C or YBR252W,True
r_0365,YJR153W,YJR153W,True
r_0366,YPL281C or YGR254W or YHR174W or YMR323W or YOR393W,YPL281C or YGR254W or YHR174W or YMR323W or YOR393W,True
r_0368,YDR147W or YLR133W,YDR147W or YLR133W,True
r_0369,YOR126C,YOR126C,True
r_0370,YDR261C or YGR282C or YLR300W or YNR067C or YOR190W,YDR261C or YGR282C or YLR300W or YNR067C or YOR190W,True
r_0373,YPL069C,YPL069C,True
r_0399,YER015W,YER015W,True
r_0400,YER015W,YER015W,True
r_0402,YER015W,YER015W,True
r_0410,YER015W,YER015W,True
r_0412,YER015W,YER015W,True
r_0436,YMR301C and YOR176W and YLR188W,YOR176W,False
r_0437,(YEL039C and YKR066C) or (YJR048W and YKR066C),(YEL039C and YKR066C) or (YJR048W and YKR066C),True
r_0438,(Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YLR038C and YLR395C and YMR256C and YNL052W) or (Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YIL111W and YLR038C and YLR395C and YMR256C),(Q0045 and Q0250 and Q0275 and YDL067C and YEL039C and YGL187C and YGL191W and YHR051W and YIL111W and YLR038C and YLR395C and YMR256C) or (Q0045 and Q0250 and Q0275 and YDL067C and YEL039C and YGL187C and YGL191W and YHR051W and YLR038C and YLR395C and YMR256C and YNL052W) or (Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YIL111W and YJR048W and YLR038C and YLR395C and YMR256C) or (Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YJR048W and YLR038C and YLR395C and YMR256C and YNL052W) or (Q0045 and Q0250 and Q0275 and YDL067C and YHR116W and YDR231C and YGR062C and YJL003W and YPL132W and YLL018C-A),False
